ph,temperature,turbidity,dissolved_oxygen,ammonia,label
8.2,25.6,18.63,5.65,0.004,SHRIMP
7.33,25.49,23.11,6.82,0.028,CARP
7.9,20.15,25.59,4.93,0.046,ROHU
7.89,26.36,17.7,5.93,0.02,SHRIMP
7.1,27.55,15.79,7.53,0.04,CARP
7.05,25.45,14.0,4.53,0.001,CARP
6.75,17.86,0.96,8.77,0.006,TROUT
7.82,22.75,76.16,3.61,0.075,CATFISH
7.91,29.78,32.63,3.5,0.02,CATFISH
7.55,29.5,24.87,4.78,0.05,ROHU
7.73,25.16,56.07,4.1,0.018,CATFISH
7.83,18.25,28.12,4.58,0.04,CARP
7.02,30.21,29.46,3.9,0.01,TILAPIA
8.11,25.27,16.28,5.24,0.013,SHRIMP
8.38,30.21,11.77,5.05,0.009,SHRIMP
7.39,27.21,40.79,4.76,0.018,CATFISH
8.0,25.27,7.79,7.8,0.02,SHRIMP
7.0,9.82,3.23,8.35,0.009,SALMON
7.49,25.78,78.88,4.02,0.02,CATFISH
7.77,29.01,17.1,5.49,0.009,SHRIMP
8.46,28.01,18.75,7.12,0.014,SHRIMP
7.58,23.86,92.82,5.52,0.051,CATFISH
7.35,30.55,15.23,3.69,0.017,TILAPIA
7.75,25.11,15.49,6.93,0.008,SHRIMP
7.91,17.89,0.89,7.87,0.004,TROUT
8.04,29.66,9.82,6.07,0.005,SHRIMP
7.91,12.04,4.45,10.1,0.002,SALMON
8.0,19.35,22.24,4.43,0.041,CARP
7.27,22.21,94.73,5.48,0.052,CATFISH
7.7,25.36,19.43,6.65,0.016,SHRIMP
7.94,31.12,36.04,4.9,0.043,TILAPIA
8.5,28.18,32.0,3.39,0.007,TILAPIA
8.33,29.38,16.61,6.0,0.019,ROHU
6.71,11.15,1.44,8.31,0.008,SALMON
8.22,24.06,38.49,5.36,0.005,CARP
7.58,30.53,17.85,3.82,0.032,TILAPIA
6.16,26.98,70.97,3.48,0.091,CATFISH
7.0,13.83,2.03,10.89,0.001,SALMON
6.2,25.1,72.01,4.3,0.069,CATFISH
7.47,11.88,7.32,7.77,0.002,TROUT
8.09,24.89,72.85,3.04,0.007,CATFISH
6.32,24.5,66.01,4.56,0.079,CATFISH
7.74,21.0,14.81,6.59,0.046,CARP
6.96,8.04,3.26,8.61,0.009,SALMON
7.55,26.28,34.22,2.79,0.064,CATFISH
8.08,25.95,24.74,4.58,0.038,ROHU
6.77,31.39,42.2,3.92,0.013,TILAPIA
7.56,20.09,33.25,5.73,0.01,CARP
7.68,14.01,2.4,8.01,0.002,SALMON
7.28,26.56,23.58,5.72,0.003,TILAPIA
7.86,17.85,3.5,7.78,0.005,TROUT
7.12,26.75,35.76,5.61,0.035,CARP
8.33,28.97,10.92,7.23,0.018,SHRIMP
7.84,11.33,1.5,8.73,0.007,TROUT
6.35,25.12,58.81,3.06,0.092,CATFISH
7.12,29.5,81.57,4.1,0.057,CATFISH
8.26,28.37,9.5,6.2,0.014,SHRIMP
7.2,23.71,17.61,7.21,0.004,CARP
6.94,28.77,43.43,6.02,0.038,TILAPIA
7.01,11.95,2.67,8.41,0.006,SALMON
7.33,25.45,19.22,7.11,0.034,ROHU
6.89,26.1,77.3,5.86,0.025,CATFISH
8.15,26.17,43.54,5.62,0.003,CATFISH
8.05,20.42,42.21,5.95,0.023,ROHU
8.11,25.73,36.54,4.97,0.049,CATFISH
6.51,27.33,39.13,6.2,0.047,TILAPIA
8.13,28.18,6.03,7.91,0.018,SHRIMP
7.18,29.42,28.83,5.43,0.025,ROHU
7.91,26.0,5.35,5.4,0.013,SHRIMP
6.33,26.76,61.45,3.98,0.025,CATFISH
7.79,28.04,36.23,5.51,0.081,CATFISH
7.8,9.55,0.41,8.9,0.002,SALMON
7.17,31.29,24.73,3.18,0.015,TILAPIA
7.02,23.48,32.3,4.87,0.003,CARP
6.99,13.05,6.18,9.16,0.004,TROUT
7.34,13.6,6.47,9.86,0.008,TROUT
7.44,9.48,2.68,10.87,0.006,SALMON
7.96,14.93,1.36,10.62,0.008,SALMON
8.92,26.55,26.4,5.54,0.001,TILAPIA
7.64,27.13,44.66,2.61,0.043,CATFISH
6.93,30.53,26.13,6.74,0.047,TILAPIA
8.43,21.68,29.39,4.14,0.044,CARP
8.17,10.79,2.24,10.55,0.008,SALMON
6.99,15.43,5.63,7.49,0.003,TROUT
7.99,23.65,38.58,4.86,0.006,ROHU
8.27,25.12,15.06,6.41,0.007,SHRIMP
8.28,29.87,7.43,7.22,0.009,SHRIMP
7.75,12.48,9.43,7.54,0.007,TROUT
6.68,28.64,46.09,3.05,0.025,TILAPIA
8.03,25.37,8.13,6.46,0.002,SHRIMP
7.93,22.11,25.16,6.19,0.03,ROHU
7.7,14.84,3.21,8.09,0.007,SALMON
8.08,28.55,25.3,4.3,0.012,TILAPIA
8.42,29.11,16.17,7.5,0.007,SHRIMP
7.93,19.28,17.96,7.34,0.016,CARP
6.75,26.1,73.47,5.37,0.076,CATFISH
8.25,29.32,84.36,3.3,0.002,CATFISH
7.64,29.26,14.92,5.13,0.017,SHRIMP
6.59,10.42,4.27,9.8,0.003,TROUT
7.3,13.35,4.58,9.24,0.004,SALMON
8.18,8.07,3.18,9.18,0.003,SALMON
6.78,29.02,17.47,5.04,0.026,TILAPIA
7.32,15.37,0.19,8.51,0.006,TROUT
7.5,11.83,3.17,9.89,0.003,TROUT
8.35,28.32,15.77,7.69,0.018,SHRIMP
8.35,25.7,25.98,6.99,0.02,ROHU
7.77,26.82,14.18,6.31,0.015,SHRIMP
7.31,23.24,34.1,7.14,0.027,ROHU
6.68,11.94,0.57,8.42,0.003,SALMON
7.07,22.45,37.97,4.71,0.007,ROHU
8.47,25.05,18.2,5.6,0.019,SHRIMP
6.12,26.9,45.79,5.67,0.048,CATFISH
7.96,8.3,0.06,9.37,0.001,SALMON
7.53,26.78,14.66,3.16,0.036,TILAPIA
6.53,10.41,9.54,7.43,0.007,TROUT
8.1,13.16,1.49,8.18,0.001,SALMON
8.45,28.82,28.2,4.42,0.047,TILAPIA
8.15,22.11,77.91,2.57,0.071,CATFISH
7.16,10.92,8.37,7.08,0.008,TROUT
8.19,30.54,10.1,6.51,0.009,SHRIMP
6.45,28.87,58.25,3.89,0.017,CATFISH
8.22,29.8,12.4,5.35,0.009,SHRIMP
6.94,30.9,25.71,3.02,0.014,TILAPIA
7.48,10.15,1.27,9.35,0.01,TROUT
7.54,27.17,5.26,5.58,0.015,SHRIMP
7.59,13.36,9.81,8.05,0.009,TROUT
7.44,22.52,60.4,2.97,0.027,CATFISH
8.24,27.8,8.42,5.6,0.009,SHRIMP
7.45,24.15,38.99,4.4,0.016,TILAPIA
8.54,31.92,26.28,3.04,0.008,TILAPIA
8.49,24.45,34.02,4.88,0.037,ROHU
7.48,25.45,19.42,5.86,0.044,ROHU
7.55,30.09,14.44,6.47,0.018,SHRIMP
7.5,24.96,26.67,3.29,0.005,TILAPIA
6.72,29.46,33.22,5.38,0.015,TILAPIA
7.56,12.08,9.42,8.59,0.008,TROUT
7.89,25.89,35.53,5.61,0.022,ROHU
7.94,27.79,23.93,7.27,0.025,CARP
7.64,23.32,42.02,4.8,0.006,ROHU
6.95,11.11,2.42,10.49,0.009,SALMON
8.4,27.15,43.05,4.07,0.014,TILAPIA
7.5,31.89,14.03,4.69,0.015,TILAPIA
7.4,23.14,68.97,3.62,0.039,CATFISH
8.01,18.32,14.0,6.75,0.011,CARP
6.59,11.72,9.99,8.3,0.007,TROUT
7.61,27.88,33.51,6.3,0.006,CARP
7.58,23.58,27.3,4.66,0.02,CARP
7.37,23.74,38.3,6.89,0.034,CARP
7.54,30.3,31.84,5.19,0.003,TILAPIA
6.78,27.67,37.88,6.99,0.016,TILAPIA
7.51,25.44,40.22,7.15,0.008,ROHU
7.76,28.97,10.14,6.72,0.018,TILAPIA
7.98,12.39,1.88,8.42,0.007,SALMON
7.51,29.67,30.29,6.22,0.036,TILAPIA
7.89,22.88,88.68,4.44,0.069,CATFISH
7.14,19.19,33.49,5.4,0.011,CARP
8.27,26.05,71.59,4.98,0.083,CATFISH
7.15,18.73,23.87,5.21,0.031,CARP
8.39,11.84,4.77,8.54,0.007,SALMON
7.43,13.33,2.62,8.67,0.003,SALMON
7.18,26.49,22.42,5.01,0.043,CARP
7.55,25.67,10.16,6.78,0.004,SHRIMP
8.13,22.76,28.31,4.76,0.014,ROHU
7.86,11.02,9.48,8.72,0.003,TROUT
6.66,12.01,8.95,9.15,0.006,TROUT
7.37,23.35,40.89,6.08,0.026,ROHU
8.3,10.35,1.47,10.62,0.008,SALMON
6.38,27.61,48.04,5.73,0.013,CATFISH
8.87,30.45,25.1,6.15,0.018,TILAPIA
7.63,25.53,17.58,7.57,0.017,SHRIMP
8.47,25.15,16.79,5.96,0.001,SHRIMP
7.75,24.35,87.34,2.75,0.079,CATFISH
6.29,22.57,83.24,4.2,0.034,CATFISH
6.7,22.62,40.16,4.95,0.002,CATFISH
7.73,12.37,2.41,9.2,0.01,SALMON
8.0,30.31,18.3,5.07,0.008,SHRIMP
7.01,22.13,87.04,3.76,0.058,CATFISH
8.43,27.62,27.88,4.66,0.008,ROHU
7.06,12.39,8.58,10.0,0.006,TROUT
7.04,24.35,22.22,5.78,0.048,TILAPIA
6.53,12.69,1.44,7.7,0.009,TROUT
7.04,23.38,38.11,4.53,0.036,CATFISH
6.83,9.66,2.51,8.81,0.009,SALMON
6.8,30.05,13.92,4.79,0.037,TILAPIA
7.64,13.41,4.64,8.78,0.003,SALMON
7.18,21.8,44.11,6.15,0.023,ROHU
7.16,23.46,19.45,6.41,0.047,ROHU
6.17,24.05,43.78,2.56,0.054,CATFISH
7.02,23.65,58.19,2.77,0.07,CATFISH
8.04,9.15,3.77,10.28,0.001,SALMON
7.85,22.1,15.78,6.98,0.006,CARP
7.63,27.98,11.11,7.1,0.018,SHRIMP
7.56,14.99,6.44,9.14,0.003,TROUT
7.65,14.73,3.11,9.98,0.0,TROUT
6.51,8.3,1.22,8.34,0.005,SALMON
7.36,13.28,2.92,10.81,0.009,SALMON
8.34,30.46,12.64,7.08,0.002,SHRIMP
8.24,12.48,2.24,9.99,0.007,SALMON
6.52,10.18,0.08,7.33,0.002,TROUT
7.98,12.45,1.27,8.64,0.009,TROUT
7.33,21.05,39.26,6.82,0.036,CARP
8.24,14.09,2.89,9.29,0.006,SALMON
8.19,12.69,3.66,9.76,0.004,SALMON
7.1,26.73,44.92,6.84,0.015,ROHU
8.0,28.96,32.34,6.08,0.008,ROHU
8.05,27.67,19.01,7.03,0.022,CARP
7.36,23.16,27.09,4.89,0.038,CARP
7.14,22.3,27.6,7.64,0.009,CARP
7.08,10.38,4.68,8.49,0.0,SALMON
7.97,25.69,99.94,5.44,0.074,CATFISH
7.88,27.78,17.8,5.02,0.001,ROHU
8.72,29.37,49.28,3.25,0.045,TILAPIA
7.95,17.4,9.35,8.1,0.005,TROUT
8.02,11.94,0.6,9.6,0.004,SALMON
7.77,28.76,17.42,7.12,0.01,SHRIMP
8.47,25.04,13.25,3.08,0.031,TILAPIA
8.22,27.73,12.11,6.4,0.001,SHRIMP
8.41,28.03,27.8,6.4,0.043,ROHU
7.75,22.05,62.99,2.92,0.085,CATFISH
7.11,26.38,32.42,4.59,0.034,TILAPIA
7.67,20.64,38.87,5.22,0.023,ROHU
8.34,24.92,13.65,4.26,0.049,CARP
6.69,10.81,4.79,10.99,0.007,SALMON
7.64,20.11,42.8,6.31,0.01,ROHU
8.41,30.94,18.11,7.99,0.005,SHRIMP
7.84,27.49,52.27,3.12,0.01,CATFISH
8.24,8.03,0.11,9.4,0.002,SALMON
7.62,16.52,6.86,8.32,0.004,TROUT
8.08,10.91,0.47,9.45,0.001,SALMON
6.86,16.88,9.25,9.48,0.003,TROUT
7.15,8.95,0.78,10.05,0.0,SALMON
8.19,29.99,17.7,7.04,0.019,SHRIMP
8.37,29.68,40.41,5.43,0.01,ROHU
7.41,14.14,0.5,8.77,0.008,SALMON
8.2,30.99,24.91,6.37,0.022,TILAPIA
7.12,29.34,62.75,3.46,0.014,CATFISH
7.8,21.07,26.75,6.27,0.014,ROHU
7.32,8.13,0.17,10.05,0.008,SALMON
6.09,29.82,30.33,5.56,0.031,CATFISH
7.57,28.25,18.39,7.04,0.014,SHRIMP
7.32,29.42,60.01,5.54,0.045,CATFISH
6.67,17.42,8.21,7.67,0.009,TROUT
8.06,24.58,43.47,3.7,0.004,TILAPIA
7.87,28.55,44.23,5.82,0.003,ROHU
7.04,21.77,30.88,5.01,0.048,CARP
8.9,25.73,11.95,4.17,0.039,TILAPIA
8.06,26.24,14.35,6.07,0.017,SHRIMP
6.54,14.88,7.31,9.98,0.007,TROUT
6.4,24.22,53.09,4.78,0.076,CATFISH
7.77,27.23,26.17,3.91,0.001,TILAPIA
8.45,29.76,13.68,6.94,0.019,SHRIMP
7.69,25.21,69.31,4.73,0.097,CATFISH
7.33,9.04,4.79,9.21,0.009,SALMON
8.05,25.14,16.46,6.74,0.013,SHRIMP
7.52,22.02,39.23,4.66,0.003,ROHU
7.72,11.84,1.37,8.73,0.001,SALMON
8.11,28.62,25.36,5.52,0.045,ROHU
7.65,25.25,48.34,5.93,0.08,CATFISH
7.53,12.31,8.5,8.31,0.01,TROUT
8.16,27.32,31.21,7.58,0.012,CARP
7.18,28.42,85.23,5.16,0.035,CATFISH
8.32,25.93,10.01,6.55,0.005,SHRIMP
7.98,15.36,4.64,8.84,0.003,TROUT
6.58,29.03,88.5,3.3,0.004,CATFISH
6.71,13.97,3.01,10.88,0.007,SALMON
6.92,11.17,0.78,10.87,0.008,SALMON
7.13,27.44,29.5,3.55,0.034,TILAPIA
6.82,12.59,5.19,9.35,0.008,TROUT
6.94,27.03,68.31,3.31,0.034,CATFISH
7.25,8.01,2.23,8.83,0.001,SALMON
8.32,20.39,44.64,6.49,0.034,ROHU
7.09,14.11,8.1,8.66,0.008,TROUT
8.05,27.48,6.09,7.14,0.014,SHRIMP
8.55,24.47,46.24,3.76,0.013,TILAPIA
8.09,26.87,11.75,7.42,0.003,SHRIMP
7.86,10.21,3.96,8.39,0.008,SALMON
6.53,31.19,33.25,4.41,0.012,TILAPIA
7.4,26.21,30.64,7.09,0.025,ROHU
7.99,29.09,6.52,5.99,0.002,SHRIMP
7.67,24.8,23.44,4.52,0.023,TILAPIA
7.12,23.5,18.14,6.46,0.049,CARP
7.48,18.68,10.99,6.42,0.031,CARP
7.17,14.94,0.51,8.16,0.009,SALMON
6.83,31.04,30.43,3.33,0.031,TILAPIA
7.96,15.34,7.79,9.33,0.005,TROUT
7.99,26.52,32.44,5.13,0.041,TILAPIA
7.95,20.42,23.1,6.96,0.022,CARP
6.6,26.91,34.43,3.48,0.046,TILAPIA
8.09,29.69,32.86,2.77,0.088,CATFISH
7.9,26.72,26.67,5.96,0.049,ROHU
7.97,27.86,16.42,6.39,0.039,CARP
7.58,25.07,11.41,6.23,0.02,SHRIMP
6.52,29.86,79.14,4.24,0.043,CATFISH
7.57,27.44,27.69,5.38,0.031,CARP
8.48,28.89,24.84,5.77,0.033,ROHU
7.54,27.44,54.59,3.6,0.068,CATFISH
7.02,23.99,28.81,7.22,0.045,ROHU
8.33,20.08,34.24,4.7,0.014,ROHU
6.67,17.3,1.95,8.84,0.01,TROUT
6.23,23.43,78.19,5.41,0.041,CATFISH
7.98,23.2,76.18,3.63,0.034,CATFISH
8.66,24.54,36.01,3.48,0.0,TILAPIA
7.29,24.56,35.65,5.01,0.016,CARP
7.75,23.94,29.5,6.87,0.024,ROHU
7.94,24.7,74.32,2.68,0.061,CATFISH
7.22,28.12,27.62,6.8,0.048,ROHU
7.29,10.59,1.42,10.74,0.008,SALMON
8.36,29.16,14.37,5.04,0.015,SHRIMP
7.75,27.92,28.24,3.82,0.038,TILAPIA
8.32,24.82,26.23,7.84,0.006,CARP
8.18,28.62,55.21,4.6,0.016,CATFISH
7.39,25.38,30.99,6.41,0.015,ROHU
8.5,22.57,33.05,3.26,0.097,CATFISH
6.75,11.96,1.35,9.18,0.004,SALMON
6.75,24.9,32.93,6.12,0.018,TILAPIA
8.25,31.49,36.63,4.06,0.029,TILAPIA
7.15,26.75,48.71,4.76,0.099,CATFISH
6.16,25.39,31.09,3.61,0.037,CATFISH
7.5,19.81,17.33,7.33,0.031,CARP
7.23,26.16,19.65,6.23,0.041,ROHU
7.89,10.16,4.38,10.35,0.0,SALMON
8.08,11.92,1.79,8.26,0.007,SALMON
7.79,26.03,16.43,7.97,0.016,SHRIMP
7.93,28.57,10.23,5.98,0.015,SHRIMP
8.06,26.8,23.77,5.49,0.034,ROHU
7.6,22.31,11.72,5.82,0.04,CARP
8.28,22.2,16.94,6.72,0.011,ROHU
7.76,28.4,32.45,5.47,0.026,ROHU
7.84,25.81,6.11,7.98,0.013,SHRIMP
8.14,11.58,3.59,8.93,0.003,SALMON
7.81,10.63,4.91,10.0,0.01,SALMON
6.66,10.82,1.87,8.81,0.003,SALMON
8.19,24.33,29.04,7.46,0.021,ROHU
8.34,21.42,23.94,7.58,0.014,CARP
7.68,8.09,0.01,9.85,0.002,SALMON
8.43,21.33,26.96,5.61,0.02,CARP
7.82,13.05,1.28,8.27,0.001,SALMON
7.73,12.38,1.48,9.25,0.008,SALMON
7.86,12.5,4.31,9.46,0.001,SALMON
6.67,17.93,3.02,8.9,0.006,TROUT
8.26,12.1,3.89,8.75,0.007,SALMON
7.68,15.33,9.0,7.86,0.009,TROUT
7.63,30.8,17.17,5.33,0.002,SHRIMP
7.24,23.69,17.96,6.22,0.005,ROHU
7.7,17.32,7.57,9.47,0.002,TROUT
6.92,13.36,4.74,10.15,0.009,SALMON
6.98,22.72,73.79,4.23,0.028,CATFISH
7.94,28.31,13.36,5.83,0.01,SHRIMP
7.89,25.76,10.78,6.59,0.012,SHRIMP
8.3,26.9,18.1,4.14,0.013,CARP
8.27,31.89,30.88,6.31,0.029,TILAPIA
8.3,29.14,32.6,5.89,0.021,TILAPIA
7.36,21.59,37.44,6.3,0.037,CARP
6.07,22.51,67.65,5.02,0.022,CATFISH
8.26,22.84,36.44,6.2,0.049,ROHU
8.15,27.92,20.36,5.64,0.008,CARP
6.61,28.84,70.81,2.74,0.005,CATFISH
7.41,10.03,1.17,10.21,0.0,SALMON
6.62,25.21,80.32,5.57,0.044,CATFISH
7.17,12.77,8.36,9.28,0.003,TROUT
7.05,28.82,32.34,4.52,0.043,TILAPIA
7.88,24.35,83.43,5.11,0.025,CATFISH
6.76,11.08,4.44,8.76,0.004,SALMON
8.14,26.04,15.24,6.28,0.012,SHRIMP
8.48,23.6,30.87,4.47,0.013,CARP
8.17,14.55,0.68,9.46,0.003,SALMON
8.3,25.13,45.08,3.72,0.04,TILAPIA
7.41,13.25,3.17,8.92,0.004,TROUT
6.74,8.79,0.36,10.23,0.007,SALMON
8.09,26.9,42.07,2.57,0.003,CATFISH
8.39,28.11,39.86,6.21,0.015,ROHU
7.09,14.48,6.85,9.89,0.009,TROUT
6.85,14.71,9.23,9.24,0.007,TROUT
8.06,29.58,10.51,6.64,0.01,SHRIMP
7.82,25.12,6.66,7.44,0.017,SHRIMP
6.58,15.25,8.37,8.12,0.009,TROUT
6.81,23.21,73.44,3.97,0.061,CATFISH
7.41,27.75,17.76,5.24,0.008,CARP
7.58,14.89,1.79,8.13,0.005,TROUT
6.5,27.86,72.99,3.22,0.015,CATFISH
8.4,25.82,8.76,6.63,0.016,SHRIMP
7.54,13.44,6.91,8.56,0.01,TROUT
8.29,30.73,11.2,7.86,0.016,SHRIMP
7.07,13.0,2.44,8.29,0.005,TROUT
7.55,29.9,17.37,5.71,0.006,SHRIMP
7.97,29.5,14.17,5.3,0.008,SHRIMP
6.51,8.71,3.96,10.88,0.004,SALMON
7.12,14.91,2.13,7.87,0.009,TROUT
7.29,27.65,15.71,5.63,0.006,ROHU
8.42,20.78,33.76,5.77,0.028,ROHU
8.38,22.01,15.77,5.08,0.043,CARP
8.34,29.71,38.59,6.13,0.048,ROHU
8.33,20.84,30.5,5.18,0.021,ROHU
7.19,21.46,20.17,6.26,0.015,CARP
7.97,26.3,10.01,7.88,0.01,SHRIMP
6.71,16.82,4.0,9.19,0.005,TROUT
8.0,27.13,41.46,5.61,0.004,ROHU
7.79,23.54,37.22,6.5,0.015,CARP
7.75,26.67,33.84,7.85,0.004,CARP
7.51,23.11,43.61,6.85,0.033,ROHU
7.03,27.72,64.09,3.99,0.043,CATFISH
8.68,31.1,10.44,6.55,0.014,TILAPIA
7.22,29.09,23.5,7.2,0.04,ROHU
7.97,29.12,68.69,5.89,0.1,CATFISH
7.91,23.95,88.72,3.82,0.053,CATFISH
8.01,30.23,8.2,6.28,0.019,SHRIMP
7.92,24.0,15.36,4.88,0.016,ROHU
7.63,30.54,31.35,4.35,0.033,TILAPIA
7.87,28.73,5.97,6.59,0.018,SHRIMP
8.18,24.15,40.23,4.06,0.016,TILAPIA
7.89,12.03,0.95,9.81,0.0,SALMON
7.12,11.11,0.6,8.36,0.007,SALMON
7.51,29.98,15.11,4.58,0.041,ROHU
7.62,23.09,71.26,4.49,0.097,CATFISH
7.36,25.03,42.79,6.95,0.016,ROHU
7.94,9.13,3.16,8.16,0.003,SALMON
7.28,25.11,17.8,7.26,0.017,ROHU
7.86,30.4,6.77,5.93,0.016,SHRIMP
8.02,25.45,6.65,6.15,0.019,SHRIMP
8.17,24.93,33.02,5.91,0.002,CATFISH
8.22,19.94,17.1,7.51,0.041,CARP
6.9,25.45,32.62,5.55,0.037,TILAPIA
6.57,10.25,3.82,10.88,0.003,SALMON
8.47,23.82,36.01,7.81,0.034,CARP
6.61,25.46,47.88,5.6,0.011,CATFISH
7.46,23.6,27.62,4.8,0.002,ROHU
8.38,26.93,39.05,4.82,0.027,TILAPIA
7.46,17.63,8.4,8.28,0.006,TROUT
8.25,21.5,34.76,4.95,0.046,ROHU
6.99,11.12,3.71,9.12,0.004,TROUT
7.73,12.21,7.97,7.86,0.002,TROUT
7.4,28.81,34.4,5.24,0.046,TILAPIA
7.04,11.71,4.41,10.83,0.001,SALMON
7.75,13.72,3.27,10.52,0.009,SALMON
7.29,26.56,36.48,5.19,0.041,CARP
7.84,30.81,15.42,6.2,0.004,SHRIMP
8.48,30.18,17.15,5.38,0.015,SHRIMP
6.61,10.31,2.31,8.61,0.003,SALMON
8.27,27.25,13.48,7.51,0.0,SHRIMP
7.95,11.39,2.23,8.58,0.001,TROUT
7.95,28.18,23.24,5.17,0.048,TILAPIA
7.9,11.17,6.92,9.73,0.005,TROUT
7.52,26.03,13.47,7.11,0.004,SHRIMP
7.88,28.44,5.41,5.79,0.014,SHRIMP
8.41,18.04,36.56,4.27,0.048,CARP
7.35,31.64,37.87,5.16,0.026,TILAPIA
7.53,27.73,83.34,3.42,0.005,CATFISH
7.37,8.58,0.51,9.41,0.005,SALMON
8.41,25.84,13.06,6.78,0.011,SHRIMP
7.36,28.43,67.59,5.68,0.006,CATFISH
7.73,26.26,60.4,3.86,0.084,CATFISH
7.79,27.32,14.4,6.66,0.019,SHRIMP
7.59,25.28,6.67,5.56,0.01,SHRIMP
6.63,10.95,1.97,10.96,0.004,SALMON
7.05,10.58,5.69,8.68,0.008,TROUT
8.45,19.53,32.28,5.43,0.029,CARP
7.83,26.25,25.14,7.67,0.031,CARP
8.15,30.43,6.28,5.65,0.017,SHRIMP
7.12,22.86,16.29,4.8,0.047,CARP
7.54,24.27,44.46,6.85,0.045,ROHU
7.58,20.78,27.11,5.0,0.016,CARP
7.07,22.32,34.82,4.1,0.034,CARP
7.18,27.07,39.37,6.75,0.026,TILAPIA
7.65,29.21,15.89,7.02,0.007,SHRIMP
7.18,28.06,22.62,6.96,0.022,TILAPIA
6.53,24.13,36.64,3.71,0.004,CATFISH
7.05,22.14,15.84,4.74,0.014,CARP
8.46,25.13,16.08,7.88,0.017,SHRIMP
7.96,27.69,14.13,5.67,0.043,CARP
7.31,15.53,4.21,9.56,0.008,TROUT
7.25,11.13,3.95,10.41,0.007,SALMON
7.31,10.04,1.17,9.6,0.001,SALMON
7.0,23.24,21.6,7.41,0.036,ROHU
6.23,26.13,44.94,4.38,0.084,CATFISH
7.39,27.04,20.32,5.89,0.001,ROHU
7.11,11.22,0.93,9.91,0.005,SALMON
6.8,13.84,8.88,8.7,0.007,TROUT
8.18,31.42,23.9,4.32,0.029,TILAPIA
6.94,12.61,9.61,7.55,0.003,TROUT
8.16,25.33,82.07,5.5,0.031,CATFISH
6.77,23.98,56.9,2.69,0.081,CATFISH
7.85,22.36,26.2,4.79,0.022,CARP
7.67,25.58,95.38,5.49,0.01,CATFISH
8.09,20.36,44.92,7.12,0.015,ROHU
7.22,13.25,8.73,7.1,0.009,TROUT
7.98,8.02,3.14,9.77,0.005,SALMON
6.04,26.95,62.05,4.49,0.09,CATFISH
8.03,29.52,53.5,4.35,0.066,CATFISH
7.08,25.57,51.6,4.63,0.019,CATFISH
7.48,15.87,3.66,8.21,0.006,TROUT
7.08,19.77,26.46,5.92,0.002,CARP
7.03,24.24,72.68,4.9,0.046,CATFISH
7.52,24.49,36.48,4.74,0.042,CARP
7.77,13.51,3.5,8.62,0.001,SALMON
6.69,31.68,45.16,6.02,0.047,TILAPIA
8.1,20.77,31.44,5.54,0.039,CARP
8.16,20.62,19.86,4.43,0.047,CARP
7.05,10.95,1.01,9.16,0.005,SALMON
8.36,27.61,10.67,7.24,0.018,SHRIMP
7.51,29.55,14.39,7.45,0.009,SHRIMP
6.47,28.28,71.73,5.63,0.017,CATFISH
7.1,27.05,31.31,6.08,0.015,ROHU
6.54,10.52,7.34,7.97,0.003,TROUT
7.32,28.75,46.45,4.05,0.016,CATFISH
8.5,10.72,1.93,9.51,0.002,SALMON
8.03,22.29,35.94,6.78,0.0,CARP
8.16,26.64,37.79,3.25,0.028,CATFISH
6.86,13.5,8.56,7.5,0.003,TROUT
8.24,8.24,2.02,10.35,0.008,SALMON
8.06,22.26,34.69,4.99,0.003,ROHU
7.39,27.33,95.11,4.91,0.032,CATFISH
7.99,30.67,16.21,7.19,0.001,SHRIMP
7.19,29.38,43.99,7.42,0.002,ROHU
8.0,17.54,6.71,9.1,0.001,TROUT
7.42,23.48,12.5,7.66,0.02,CARP
8.45,27.84,15.61,7.46,0.02,CARP
8.17,10.13,2.35,10.62,0.001,SALMON
8.15,31.09,38.69,3.53,0.047,TILAPIA
7.6,27.08,13.07,7.43,0.004,SHRIMP
6.63,25.13,33.93,5.48,0.002,TILAPIA
6.16,24.85,72.08,4.45,0.04,CATFISH
8.43,22.3,22.59,7.32,0.02,ROHU
7.42,12.28,6.54,8.97,0.006,TROUT
7.99,13.2,6.38,9.66,0.004,TROUT
8.15,20.95,10.64,7.78,0.008,CARP
6.54,17.27,8.22,9.92,0.001,TROUT
7.64,27.29,32.2,3.97,0.003,TILAPIA
7.46,14.56,1.13,9.73,0.002,TROUT
6.87,27.03,37.35,3.91,0.021,TILAPIA
7.99,14.93,5.0,9.6,0.008,SALMON
7.44,26.02,14.57,3.56,0.043,TILAPIA
7.9,22.54,22.24,5.99,0.002,CARP
8.5,19.81,13.61,4.57,0.033,CARP
8.27,25.52,23.49,6.45,0.034,CARP
6.71,11.18,2.46,9.14,0.002,SALMON
8.22,28.86,12.8,7.05,0.009,SHRIMP
6.5,11.92,2.95,10.92,0.004,SALMON
7.26,10.23,4.26,8.66,0.002,SALMON
8.03,22.71,36.29,5.78,0.014,CARP
7.99,13.31,4.99,10.7,0.009,SALMON
8.43,26.47,56.13,5.61,0.045,CATFISH
7.2,27.58,33.66,4.37,0.03,CATFISH
6.45,26.59,98.87,3.52,0.079,CATFISH
7.62,26.91,49.79,5.28,0.024,TILAPIA
8.42,22.92,21.79,4.89,0.047,ROHU
